PID,SalePrice
528445060,inf
528456160,inf
528458070,inf
906380190,inf
906385010,inf
906385020,inf
528235010,inf
528235090,inf
528240150,inf
528250020,inf
528456220,inf
528456240,inf
528458020,inf
528458040,inf
528458060,inf
528488100,inf
528490040,inf
528490070,inf
534127130,inf
534127170,inf
534128010,inf
534128020,inf
907175100,inf
907180130,inf
907181100,inf
907185050,inf
907192030,inf
907192090,inf
907280170,inf
907285020,inf
907285050,inf
527163100,inf
527164120,inf
527165010,inf
527183030,inf
527183060,inf
528240050,inf
528250030,inf
528253020,inf
528280130,inf
528280180,inf
531382120,inf
531384030,inf
531385060,inf
907176010,inf
907181120,inf
907181140,inf
907187030,inf
907187080,inf
907192130,inf
907253110,inf
907254020,inf
907254090,inf
907405020,inf
907405140,inf
907412040,inf
907412070,inf
907412080,inf
527325110,inf
527327050,inf
527375180,inf
527375210,inf
527376100,inf
527378140,inf
527356040,inf
527359050,inf
528220040,inf
528221060,inf
528221070,inf
528228290,inf
909276200,inf
909277090,inf
909277100,inf
909278020,inf
914475010,inf
914475030,inf
914476380,inf
914476430,inf
531375120,inf
531376010,inf
527402220,inf
527403040,inf
527404020,inf
527404030,inf
527405130,inf
527405160,inf
527405180,inf
527425060,inf
527425110,inf
527450280,inf
527451110,inf
527451320,inf
527451540,inf
527451640,inf
528114050,inf
528118040,inf
528166120,inf
528170070,inf
528172080,inf
528178070,inf
