PID,SalePrice
528445060,246016.35464969854
528456160,182798.00488647717
528458070,190469.76970786744
906380190,196129.21565484727
906385010,191334.4131301658
906385020,184297.81469514006
528235010,192177.59833930508
528235090,209464.08796605817
528240150,127351.4030310851
528250020,204277.56801076623
528456220,206872.19838977873
528456240,168785.740093804
528458020,197403.03966158937
528458040,228814.72578669942
528458060,197902.2988700496
528488100,185243.72556332024
528490040,221575.11832781517
528490070,199939.61988147753
534127130,156861.04773261058
534127170,161832.7725349393
534128010,237410.5800290634
534128020,227796.5786835739
907175100,192076.39289480908
907180130,210074.96790472095
907181100,204752.43874566906
907185050,201002.77107511708
907192030,189256.25182291804
907192090,220667.52744720838
907280170,145426.2301062178
907285020,232846.80451256072
907285050,198741.44249102354
527163100,177299.33303043147
527164120,208296.96183357376
527165010,174422.24917965985
527183030,201334.1037622388
527183060,197912.0087749302
528240050,193909.04434015002
528250030,211081.4648815013
528253020,142657.21166037308
528280130,188974.6581043154
528280180,223438.71145669202
531382120,227418.89117300414
531384030,194384.06006809263
531385060,188288.91464909897
907176010,193659.27344849586
907181120,197623.4386787165
907181140,212045.29285993346
907187030,195015.06883445528
907187080,192844.70904360278
907192130,226007.66108115457
907253110,238161.7334162822
907254020,267373.53303759114
907254090,231216.5789193459
907405020,220350.5976037203
907405140,212376.7412095044
907412040,191786.91460049455
907412070,217791.6164501439
907412080,195518.69223232477
527325110,194093.18882769454
527327050,186950.61618961516
527375180,164231.93226303844
527375210,163195.28365687066
527376100,153273.2926312143
527378140,188068.17585262522
527356040,199692.79620434102
527359050,166653.28728378826
528220040,172790.67014805428
528221060,173666.32467601704
528221070,169247.3659112215
528228290,145414.94077794687
909276200,131745.87566074004
909277090,139845.73811253943
909277100,127270.54805851809
909278020,113833.3279741492
914475010,147973.67387702398
914475030,178635.7031131002
914476380,181317.58142320733
914476430,153129.6160984074
531375120,172095.25398251088
531376010,173616.10927169796
527402220,132685.75438184774
527403040,143649.02371243204
527404020,129645.10929500451
527404030,131806.11291814712
527405130,110758.23214846595
527405160,107541.31815438996
527405180,108101.18721391614
527425060,110545.71303812912
527425110,115282.54690235929
527450280,114229.56083220996
527451110,140936.14720846602
527451320,110658.37182577394
527451540,112345.91691883664
527451640,123488.18640858172
528114050,337150.88273713796
528118040,357754.52008322685
528166120,397065.4028830846
528170070,260479.72700272166
528172080,273653.840305438
528178070,357033.8027886706
