PID,SalePrice
528445060,253729.0236849896
528456160,194260.32832336903
528458070,190066.49481306484
906380190,193414.71160452464
906385010,197581.09744349148
906385020,181759.66497382088
528235010,185655.5603169054
528235090,214037.91265072406
528240150,182831.10866881275
528250020,188405.83052092342
528456220,190550.02668012353
528456240,185576.5083675391
528458020,198726.48002647384
528458040,212193.8571118472
528458060,199006.50581982866
528488100,185304.09778473928
528490040,203347.66469720058
528490070,204553.96474122672
534127130,169386.5902815836
534127170,174511.31187616498
534128010,230192.800606417
534128020,207732.82515497546
907175100,189311.81088541925
907180130,209421.32056772587
907181100,196223.16644786036
907185050,203161.80715891116
907192030,187961.14681157147
907192090,211689.09319940495
907280170,217556.87427857128
907285020,221668.62576019808
907285050,198806.7934537314
527163100,174927.95147840062
527164120,192004.38991007672
527165010,185024.51195068483
527183030,193249.86239294024
527183060,192066.6514601162
528240050,196476.99168740766
528250030,218087.61504646795
528253020,216352.02281846033
528280130,201452.08253931405
528280180,223269.3372531389
531382120,221843.14217877729
531384030,200741.55703116776
531385060,196755.95783714158
907176010,203562.3943916681
907181120,198191.41494817735
907181140,205290.31289337584
907187030,192877.90601714113
907187080,189918.54345794793
907192130,221852.01359244276
907253110,234490.21648990875
907254020,265289.25111027266
907254090,227728.14404051538
907405020,214242.8817160056
907405140,204636.0193550821
907412040,182296.37741284055
907412070,225153.053962963
907412080,193360.8476364357
527325110,176325.1069570176
527327050,195786.8323315837
527375180,177422.19301759207
527375210,157742.43560887218
527376100,173411.20281287978
527378140,190390.79902704278
527356040,175983.7787667475
527359050,164582.22448370646
528220040,176479.1217320706
528221060,170572.19598905003
528221070,174209.86983510762
528228290,238724.67464595748
909276200,149429.12383166724
909277090,133795.96004703367
909277100,122976.38143691725
909278020,133022.95369409843
914475010,132790.85070329584
914475030,170465.17801020338
914476380,185712.781679566
914476430,157586.00163256706
531375120,144497.82070236397
531376010,182863.6731403637
527402220,131810.75570000536
527403040,135941.8406566423
527404020,146142.55776517873
527404030,140749.90417146764
527405130,123373.78769564515
527405160,117309.2049774209
527405180,114761.08432571137
527425060,119796.27945071534
527425110,129997.83600895046
527450280,94251.2914785889
527451110,155032.6778731854
527451320,111103.4365200691
527451540,95788.26048051831
527451640,99916.2831181005
528114050,309688.0780733565
528118040,318178.3363898182
528166120,355133.61509377515
528170070,273368.64718345646
528172080,299485.73039507534
528178070,338563.3215518166
